Date,Team,Site,Soil,Shrub_location,Species,Plant_status_1,Height_cm_1,Notes
3/1/24,"TL, MP",LF4S,S,1,ARTCAL,Alive,14,
3/1/24,"TL, MP",LF4S,S,2,SALMEL,Alive,9,
3/1/24,"TL, MP",LF4S,S,3,ARTCAL,Alive,5,
3/1/24,"TL, MP",LF4S,S,4,ERIFAS,Alive,7,
3/1/24,"TL, MP",LF4S,S,5,ENCCAL,Alive,60,
3/1/24,"TL, MP",LF4S,S,6,ENCCAL,Dead,9,
3/1/24,"TL, MP",LF4S,S,7,ARTCAL,Alive,16,
3/1/24,"TL, MP",LF4S,S,8,ENCCAL,Alive,43,16 = tallest current alive
3/1/24,"TL, MP",LF4S,S,9,SALMEL,Alive,32,
3/1/24,"TL, MP",LF4S,S,10,ENCCAL,Alive,33,
3/1/24,"TL, MP",LF4S,S,11,ENCCAL,Alive,21,
3/1/24,"TL, MP",LF4S,S,12,ENCCAL,Alive,21,
3/1/24,"TL, MP",LF4S,S,13,ARTCAL,Alive,32,
3/1/24,"TL, MP",LF4S,S,14,SALMEL,Alive,16,
3/1/24,"TL, MP",LF4S,S,15,ARTCAL,Alive,24,
3/1/24,"TL, MP",LF4S,S,16,ENCCAL,Alive,16,
3/1/24,"TL, MP",LF4S,S,17,ARTCAL,Alive,18,
3/1/24,"TL, MP",LF4S,S,18,ENCCAL,Alive,32,
3/1/24,"TL, MP",LF4S,S,19,ERIFAS,Alive,6,
3/1/24,"TL, MP",LF4S,S,20,ENCCAL,Dead,22,
3/1/24,"TL, MP",LF4S,S,21,ENCCAL,Dead,2,Can't ID confidently
3/1/24,"TL, MP",LF4S,S,22,SALMEL,Alive,23,
3/1/24,"TL, MP",LF4S,S,23,ENCCAL,Alive,45,
3/1/24,"TL, MP",LF4S,S,24,ENCCAL,Alive,7,
3/1/24,"TL, MP",LF4S,S,25,ENCCAL,Alive,32,
3/1/24,"TL, MP",LF5S,S,1,ENCCAL,Dead,8,not sure about ID
3/1/24,"TL, MP",LF5S,S,2,SALMEL,Dead,7,
3/1/24,"TL, MP",LF5S,S,3,ENCCAL,Dead,9,
3/1/24,"TL, MP",LF5S,S,4,ARTCAL,Alive,11,not sure about ID
3/1/24,"TL, MP",LF5S,S,5,ENCCAL,Dead,12,not sure about ID
3/1/24,"TL, MP",LF5S,S,6,SALMEL,Alive,17,not sure about ID
3/1/24,"TL, MP",LF5S,S,7,ENCCAL,Alive,22,
3/1/24,"TL, MP",LF5S,S,8,SALMEL,Alive,10,
3/1/24,"TL, MP",LF5S,S,9,ENCCAL,Alive,9,
3/1/24,"TL, MP",LF5S,S,10,SALMEL,Alive,14,
3/1/24,"TL, MP",LF5S,S,11,ENCCAL,Dead,45,"brown and crispy, not 100% sure if dead"
3/1/24,"TL, MP",LF5S,S,12,ARTCAL,Dead,26,
3/1/24,"TL, MP",LF5S,S,13,ERIFAS,Alive,7,
3/1/24,"TL, MP",LF5S,S,14,ARTCAL,Alive,5,barely alive
3/1/24,"TL, MP",LF5S,S,15,ENCCAL,Alive,8,barely alive
3/1/24,"TL, MP",LF5S,S,16,SALMEL,Alive,16,barely alive
3/1/24,"TL, MP",LF5S,S,17,ENCCAL,Dead,12,not sure about ID
3/1/24,"TL, MP",LF5S,S,18,ARTCAL,Alive,39,barely alive
3/1/24,"TL, MP",LF5S,S,19,ENCCAL,Alive,40,barely alive
3/1/24,"TL, MP",LF5S,S,20,SALMEL,Dead,5,not sure about ID
3/1/24,"TL, MP",LF5S,S,21,ENCCAL,Dead,16,
3/1/24,"TL, MP",LF5S,S,22,SALMEL,Alive,7,barely alive
3/1/24,"TL, MP",LF5S,S,23,ENCCAL,Alive,38,barely alive
3/1/24,"TL, MP",LF5S,S,24,ENCCAL,Dead,23,
3/1/24,"TL, MP",LF5S,S,25,SALMEL,Dead,4,not sure about ID
3/1/24,"TL, MP",LF7,N,1,SALMEL,Alive,11,
3/1/24,"TL, MP",LF7,N,2,SALMEL,Dead,2,
3/1/24,"TL, MP",LF7,N,3,SALMEL,Alive,5,barely alive
3/1/24,"TL, MP",LF7,N,4,SALMEL,Alive,17,
3/1/24,"TL, MP",LF7,N,5,ENCCAL,Alive,15,barely alive
3/1/24,"TL, MP",LF7,N,6,SALMEL,Alive,9,
3/1/24,"TL, MP",LF7,N,7,SALMEL,Dead,11,
3/1/24,"TL, MP",LF7,N,8,ENCCAL,Dead,16,
