Date,Team,Site,Soil,Shrub_location,Species,Plant_status_2,Height_cm_2,Notes,Chlorophyll_Team,Leaf1_Chlorophyll,Leaf2_Chlorophyll,Leaf3_Chlorophyll,Chlorophyll_Team_Notes
mm/dd/yyyy,,"Ex. LF4S, LF5S, LF11",ex: scoured (S) or not (N),row-column; 1-1...,"SALMEL, ENCCAL, ERIFAS, ARTCAL",Dead or Alive,tallest point not including flowers (cm),,,,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,1,ARTCAL,Alive,17,No snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,2,SALMEL,Alive,9,More snail mass than plant mass,"Tory J, Kelsey H",31.6,31.7,31.2,salt crystals on plant
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,3,ARTCAL,Alive,21,7 snails present,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,4,ARTCAL,Alive,9.9,1 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,5,ENCCAL,Alive,54.2,2 snails,"Tory J, Kelsey H",24.4,,,mostly dead
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,6,,Dead,8.8,4 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,7,ARTCAL,Alive,17.7,7 snails,"Tory J, Kelsey H",5.2,18.6,3.8,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,8,ENCCAL,Dead,41,3 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,9,SALMEL,Alive,34.8,6 snails,"Tory J, Kelsey H",26.4,26.7,17.2,mostly dead
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,10,ENCCAL,Alive,32.5,2 snails,"Tory J, Kelsey H",25.5,22,9.2,mostly dead
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,11,ENCCAL,Dead,8.6,6 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,12,ENCCAL,Dead,19.5,1 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,13,ARTCAL,Alive,31,2 snails,"Tory J, Kelsey H",12.1,3.3,7.7,mostly dead
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,14,SALMEL,Alive,18.5,8 snails,"Tory J, Kelsey H",4.4,18.1,14.5,mostly dead yellow leaves
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,15,ARTCAL,Alive,31,1 snails,"Tory J, Kelsey H",7.8,24.3,3.9,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,16,,Dead,17,3 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,17,ARTCAL,Alive,16.5,4 snails,"Tory J, Kelsey H",11,3.1,17.5,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,18,ENCCAL,Alive,6.5,No snail,"Tory J, Kelsey H",27.1,24.3,14.7,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,19,ERIFAS,Dead,13.5,No snail,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,20,,Dead,22.5,No snail,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,21,,,,Replaced by invasive,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,22,SALMEL,Dead,20.3,1 snails,"Tory J, Kelsey H",,,,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,23,ENCCAL,Alive,45,3 snails,"Tory J, Kelsey H",36.8,25,32.5,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,24,ENCCAL,Alive,6.6,No snail,"Tory J, Kelsey H",4.9,7.7,8.2,
04/30/2014,"Justin W, Matt, Yvonne",LF4S,S,25,ENCCAL,Alive,33.6,2 snail,"Tory J, Kelsey H",6.9,9.8,21.1,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,4,ARTCAL,Alive,10.5,,"MG, LW",16.4,18.9,10.9,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,6,SALMEL,Dead,15,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,7,ENCCAL,Dead,20,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,8,SALMEL,Dead,6,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,9,ENCCAL,Dead,7.25,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,10,SALMEL,Dead,10,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,13,ERIFAS,Dead,6.5,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,14,SALMEL,Dead,9,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,15,ENCCAL,Dead,18.8,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,16,SALMEL,Dead,13,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,18,ARTCAL,Dead,30,,"MG, LW",13.8,30.1,4.6,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,19,ENCCAL,Alive,42,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,22,SALMEL,Dead,4.5,,"MG, LW",,,,
04/30/2014,"Jessica, Lauryn, Ann",LF5S,S,23,ENCCAL,Dead,37.5,,"MG, LW",,,,
04/30/2014,"Cherry, Sully, Ciara",LF7,N,1,SALMEL,Alive,10,not thriving,"MG, LW",9,16.5,2,
04/30/2014,"Cherry, Sully, Ciara",LF7,N,2,,Dead,2.5,"no tag, unknown possibly SALMEL","MG, LW",,,,
04/30/2014,"Cherry, Sully, Ciara",LF7,N,3,SALMEL,Dead,6,,"MG, LW",,,,
04/30/2014,"Cherry, Sully, Ciara",LF7,N,4,SALMEL,Alive,19,,"MG, LW",34.5,30.7,7.8,
